gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue,geometry
4422052403,38b4c89f-584c-41bb-bd8f-cd1def33e92f,urn:lsid:artportalen.se:sighting:112419004,Plantae,Tracheophyta,Liliopsida,Alismatales,Zosteraceae,Zostera,Zostera marina,,SPECIES,Zostera marina L.,Zostera marina,L.,SE,"50 m utanför Bålenäsa, Båtafjorden, Hl",Halland,PRESENT,10.0,b8323864-602a-4a7d-9127-bb903054e97d,57.24844,12.11952,50.0,,,,,,2023-07-28,28.0,7.0,2023,2863967,2863967.0,HUMAN_OBSERVATION,SLU Artdatabanken,Artportalen,112419004,,,,CC0_1_0,Mats Bergström,Mats Bergström,,,2025-07-19T14:19:49.949Z,,,POINT (12.11952 57.24844)
4418264301,38b4c89f-584c-41bb-bd8f-cd1def33e92f,urn:lsid:artportalen.se:sighting:110018389,Plantae,Tracheophyta,Liliopsida,Alismatales,Zosteraceae,Zostera,Zostera marina,,SPECIES,Zostera marina L.,Zostera marina,L.,SE,"Ålgräs (Zostera marina), Hl",Halland,PRESENT,40.0,b8323864-602a-4a7d-9127-bb903054e97d,56.63963,12.88106,100.0,,,,,,2023-06-12,12.0,6.0,2023,2863967,2863967.0,HUMAN_OBSERVATION,SLU Artdatabanken,Artportalen,110018389,,,,CC0_1_0,Jens Rathsman,Jens Rathsman,,,2025-07-19T14:05:58.356Z,,,POINT (12.88106 56.63963)
4403865379,38b4c89f-584c-41bb-bd8f-cd1def33e92f,urn:lsid:artportalen.se:sighting:111690844,Plantae,Tracheophyta,Liliopsida,Alismatales,Zosteraceae,Zostera,Zostera marina,,SPECIES,Zostera marina L.,Zostera marina,L.,SE,"Norreborg, Sk",Skåne,PRESENT,,b8323864-602a-4a7d-9127-bb903054e97d,55.92011,12.69559,150.0,,,,,,2023-08-25,25.0,8.0,2023,2863967,2863967.0,HUMAN_OBSERVATION,SLU Artdatabanken,Artportalen,111690844,,,,CC0_1_0,Johan Niss,"Johan Niss, Birgit Nielsen",,,2025-07-19T14:19:37.747Z,,,POINT (12.69559 55.92011)
4403599924,38b4c89f-584c-41bb-bd8f-cd1def33e92f,urn:lsid:artportalen.se:sighting:111777999,Plantae,Tracheophyta,Liliopsida,Alismatales,Zosteraceae,Zostera,Zostera marina,,SPECIES,Zostera marina L.,Zostera marina,L.,SE,"Skår 235, Uddevalla, Boh",Bohuslän,PRESENT,,b8323864-602a-4a7d-9127-bb903054e97d,58.29811,11.53068,60.0,,,,,,2023-08-18T18:00/2023-08-18T20:21,18.0,8.0,2023,2863967,2863967.0,HUMAN_OBSERVATION,SLU Artdatabanken,Artportalen,111777999,,,,CC0_1_0,Martin Stjernstedt,Martin Stjernstedt,,,2025-07-19T14:15:40.022Z,,,POINT (11.53068 58.29811)
4177812646,38b4c89f-584c-41bb-bd8f-cd1def33e92f,urn:lsid:artportalen.se:sighting:111376631,Plantae,Tracheophyta,Liliopsida,Alismatales,Zosteraceae,Zostera,Zostera angustifolia,,SPECIES,Zostera angustifolia (Hornem.) Rchb.,Zostera angustifolia,(Hornem.) Rchb.,SE,"Källviken, Boh",Bohuslän,PRESENT,,b8323864-602a-4a7d-9127-bb903054e97d,58.25581,11.50397,25.0,,,,,,2023-08-03,3.0,8.0,2023,2863937,2863937.0,HUMAN_OBSERVATION,SLU Artdatabanken,Artportalen,111376631,,,,CC0_1_0,Jukka Väyrynen,Jukka Väyrynen,,,2025-07-19T14:03:39.080Z,,,POINT (11.50397 58.25581)
4177801366,38b4c89f-584c-41bb-bd8f-cd1def33e92f,urn:lsid:artportalen.se:sighting:111360745,Plantae,Tracheophyta,Liliopsida,Alismatales,Zosteraceae,Zostera,Zostera marina,,SPECIES,Zostera marina L.,Zostera marina,L.,SE,"Lysekil, Släggö, Boh",Bohuslän,PRESENT,,b8323864-602a-4a7d-9127-bb903054e97d,58.26749,11.43553,50.0,,,,,,2023-08-05,5.0,8.0,2023,2863967,2863967.0,HUMAN_OBSERVATION,SLU Artdatabanken,Artportalen,111360745,,,,CC0_1_0,Dennis Nyström,"Dennis Nyström, Karin Johansson",,,2025-07-19T14:20:50.897Z,,,POINT (11.43553 58.26749)
4169643331,38b4c89f-584c-41bb-bd8f-cd1def33e92f,urn:lsid:artportalen.se:sighting:110711986,Plantae,Tracheophyta,Liliopsida,Alismatales,Zosteraceae,Zostera,Zostera marina,,SPECIES,Zostera marina L.,Zostera marina,L.,SE,"Tjolöholm, NV badplatsen, Hl",Halland,PRESENT,,b8323864-602a-4a7d-9127-bb903054e97d,57.39814,12.0981,50.0,,,,,,2023-07-09,9.0,7.0,2023,2863967,2863967.0,HUMAN_OBSERVATION,SLU Artdatabanken,Artportalen,110711986,,,,CC0_1_0,Lars Stibe,"Lars Stibe, Per Wahlén, Kirsten Malmström",,,2025-07-19T14:08:29.717Z,,,POINT (12.0981 57.39814)
4169615478,38b4c89f-584c-41bb-bd8f-cd1def33e92f,urn:lsid:artportalen.se:sighting:111182964,Plantae,Tracheophyta,Liliopsida,Alismatales,Zosteraceae,Zostera,Zostera marina,,SPECIES,Zostera marina L.,Zostera marina,L.,SE,"Ängelholm strand, Sk",Skåne,PRESENT,,b8323864-602a-4a7d-9127-bb903054e97d,56.25142,12.82714,200.0,,,,,,2023-07-27,27.0,7.0,2023,2863967,2863967.0,HUMAN_OBSERVATION,SLU Artdatabanken,Artportalen,111182964,,,,CC0_1_0,Lars Fredriksson,Lars Fredriksson,,,2025-07-19T13:56:44.432Z,,,POINT (12.82714 56.25142)
4169547361,38b4c89f-584c-41bb-bd8f-cd1def33e92f,urn:lsid:artportalen.se:sighting:110775512,Plantae,Tracheophyta,Liliopsida,Alismatales,Zosteraceae,Zostera,Zostera marina,,SPECIES,Zostera marina L.,Zostera marina,L.,SE,"Badvik, Sibbarp, Sk",Skåne,PRESENT,,b8323864-602a-4a7d-9127-bb903054e97d,55.57768,12.91196,10.0,,,,,,2023-07-09,9.0,7.0,2023,2863967,2863967.0,HUMAN_OBSERVATION,SLU Artdatabanken,Artportalen,110775512,,,,CC0_1_0,Stefan Andersson,Stefan Andersson,,,2025-07-19T14:04:29.521Z,,,POINT (12.91196 55.57768)
4169534304,38b4c89f-584c-41bb-bd8f-cd1def33e92f,urn:lsid:artportalen.se:sighting:110686848,Plantae,Tracheophyta,Liliopsida,Alismatales,Zosteraceae,Zostera,Zostera marina,,SPECIES,Zostera marina L.,Zostera marina,L.,SE,"Olofsbo strand, Hl",Halland,PRESENT,,b8323864-602a-4a7d-9127-bb903054e97d,56.91711,12.3845,150.0,,,,,,2023-07-08,8.0,7.0,2023,2863967,2863967.0,HUMAN_OBSERVATION,SLU Artdatabanken,Artportalen,110686848,,,,CC0_1_0,Per Ahlgren,Per Ahlgren,,,2025-07-19T14:07:37.804Z,,,POINT (12.3845 56.91711)
